date,city,vehicle_count,avg_speed,congestion_level,temperature,heat_index,humidity,rainfall,aqi,air_quality_category,respiratory_cases,heat_related_cases,health_risk_score,risk_level
2025-01-17,Delhi,275,35,Medium,15.4,17.6,54,0.0,213,Poor,63,0,0.54,Medium
2025-01-17,Bangalore,266,36,Medium,31.5,33.8,57,0.0,170,Poor,77,2,0.59,Medium
2025-01-17,Mumbai,639,10,High,31.4,34.4,74,0.0,272,Poor,112,4,0.81,High
2025-01-17,Chennai,523,10,High,37.9,40.4,63,14.3,266,Poor,127,30,0.85,High
2025-01-17,Ahmedabad,291,33,Medium,22.4,24.2,44,0.0,208,Poor,63,0,0.58,Medium
2025-01-17,Hyderabad,407,20,High,32.3,34.7,60,0.0,194,Poor,48,8,0.71,High
2025-01-17,Lucknow,346,27,Medium,12.5,14.4,48,0.0,244,Poor,112,0,0.56,Medium
2025-01-17,Shimla,64,58,Low,2.6,4.6,50,0.0,86,Moderate,34,0,0.19,Low
2025-01-18,Delhi,558,10,High,18.8,22.2,85,0.0,302,Poor,96,0,0.77,High
2025-01-18,Bangalore,290,33,Medium,20.2,22.6,60,9.6,144,Poor,55,0,0.48,Medium
2025-01-18,Mumbai,498,10,High,25.5,26.9,34,0.0,249,Poor,103,0,0.74,High
2025-01-18,Chennai,387,22,High,35.5,38.8,83,0.0,241,Poor,116,17,0.8,High
2025-01-18,Ahmedabad,365,25,High,29.2,30.8,40,0.0,242,Poor,92,0,0.76,High
2025-01-18,Hyderabad,206,43,Medium,37.6,39.4,46,0.0,146,Poor,55,28,0.6,Medium
2025-01-18,Lucknow,197,44,Medium,37.8,40.7,72,0.0,193,Poor,73,19,0.66,Medium
2025-01-18,Shimla,93,55,Low,27.5,30.2,67,0.0,67,Moderate,18,0,0.33,Low
2025-01-19,Delhi,348,27,Medium,19.0,21.1,53,4.9,248,Poor,99,0,0.61,Medium
2025-01-19,Bangalore,340,28,Medium,19.5,21.0,37,0.0,164,Poor,43,0,0.5,Medium
2025-01-19,Mumbai,387,22,High,27.8,29.6,44,2.0,234,Poor,81,0,0.74,High
2025-01-19,Chennai,217,41,Medium,25.1,26.8,42,0.0,166,Poor,54,0,0.54,Medium
2025-01-19,Ahmedabad,422,19,High,21.4,23.4,50,0.0,245,Poor,88,0,0.71,High
2025-01-19,Hyderabad,421,19,High,28.7,31.7,74,0.0,211,Poor,84,0,0.71,High
