date,city,temperature,humidity,rainfall,aqi,heat_index,air_quality_category
2025-01-17,Delhi,15.4,54,0.0,213,17.6,Poor
2025-01-17,Bangalore,31.5,57,0.0,170,33.8,Poor
2025-01-17,Mumbai,31.4,74,0.0,272,34.4,Poor
2025-01-17,Chennai,37.9,63,14.3,266,40.4,Poor
2025-01-17,Ahmedabad,22.4,44,0.0,208,24.2,Poor
2025-01-17,Hyderabad,32.3,60,0.0,194,34.7,Poor
2025-01-17,Lucknow,12.5,48,0.0,244,14.4,Poor
2025-01-17,Shimla,2.6,50,0.0,86,4.6,Moderate
2025-01-18,Delhi,18.8,85,0.0,302,22.2,Poor
2025-01-18,Bangalore,20.2,60,9.6,144,22.6,Poor
2025-01-18,Mumbai,25.5,34,0.0,249,26.9,Poor
2025-01-18,Chennai,35.5,83,0.0,241,38.8,Poor
2025-01-18,Ahmedabad,29.2,40,0.0,242,30.8,Poor
2025-01-18,Hyderabad,37.6,46,0.0,146,39.4,Poor
2025-01-18,Lucknow,37.8,72,0.0,193,40.7,Poor
2025-01-18,Shimla,27.5,67,0.0,67,30.2,Moderate
2025-01-19,Delhi,19.0,53,4.9,248,21.1,Poor
2025-01-19,Bangalore,19.5,37,0.0,164,21.0,Poor
2025-01-19,Mumbai,27.8,44,2.0,234,29.6,Poor
2025-01-19,Chennai,25.1,42,0.0,166,26.8,Poor
2025-01-19,Ahmedabad,21.4,50,0.0,245,23.4,Poor
2025-01-19,Hyderabad,28.7,74,0.0,211,31.7,Poor
2025-01-19,Lucknow,13.4,62,0.0,226,15.9,Poor
2025-01-19,Shimla,9.4,84,0.0,106,12.8,Poor
2025-01-20,Delhi,27.8,79,0.0,253,31.0,Poor
2025-01-20,Bangalore,17.2,46,0.0,121,19.0,Poor
2025-01-20,Mumbai,29.1,77,14.4,287,32.2,Poor
2025-01-20,Chennai,39.0,30,0.0,276,40.2,Poor
2025-01-20,Ahmedabad,26.5,38,0.0,212,28.0,Poor
2025-01-20,Hyderabad,20.2,61,0.0,219,22.6,Poor
2025-01-20,Lucknow,17.1,36,0.0,224,18.5,Poor
2025-01-20,Shimla,13.2,66,0.0,107,15.8,Poor
2025-01-21,Delhi,13.2,59,0.0,267,15.6,Poor
2025-01-21,Bangalore,18.7,70,13.1,197,21.5,Poor
2025-01-21,Mumbai,30.7,54,0.0,192,32.9,Poor
2025-01-21,Chennai,40.0,83,0.0,239,43.3,Poor
